2,1762983220,64,4
2,1762983221,64,4
2,1762983221,64,4
2,1762983221,64,4
2,1762983222,64,4
2,1762983223,64,4
2,1762983223,64,4
2,1762983224,64,4
2,1762983225,64,4
2,1762983225,64,4
2,1762983226,64,4
2,1762983226,64,4
2,1762983227,64,4
2,1762983227,64,4
2,1762983228,64,4
2,1762983229,64,4
2,1762983229,64,4
2,1762983229,64,4
2,1762983230,64,4
2,1762983231,64,4
2,1762983231,64,4
2,1762983231,64,4
2,1762983216,64,4
2,1762983216,64,4
2,1762983217,64,4
2,1762983217,64,4
2,1762983218,64,4
2,1762983218,64,4
2,1762983218,64,4
2,1763084337,161,131073
2,1763084338,161,131073
2,1763084338,161,131073
2,1763084339,161,131073
