1,1763355600,30,70,35,300,840,378,-840,-730,-797,0,0,0,0
2,1763355600,29,40,37,921,965,948,-870,-870,-870,0,0,0,0
2,1763356500,38,41,38,920,962,952,-890,-870,-870,0,0,0,0
1,1763356500,30,80,35,300,620,377,-850,-740,-800,3,0,0,0
2,1763357400,37,41,38,920,963,949,-880,-870,-870,0,0,0,0
1,1763357400,30,60,33,300,480,365,-850,-730,-798,2,0,0,0
1,1763358300,30,70,34,290,640,372,-850,-750,-805,0,0,0,0
2,1763358300,36,41,38,921,964,946,-880,-870,-870,0,0,0,0
1,1763359200,30,60,32,300,670,363,-860,-750,-804,1,0,0,0
2,1763359200,38,41,38,920,962,947,-880,-870,-870,0,0,0,0
1,1763360100,30,90,32,270,680,356,-850,-740,-806,2,0,0,0
2,1763360100,33,40,37,921,967,948,-880,-860,-870,0,0,0,0
1,1763361000,20,70,32,300,640,363,-870,-740,-808,2,0,0,0
2,1763361000,28,38,30,924,972,955,-870,-870,-870,0,0,0,0
2,1763361900,28,31,28,931,972,956,-870,-870,-870,0,0,0,0
1,1763361900,30,60,32,290,450,351,-850,-750,-802,2,0,0,0
2,1763362800,28,30,28,931,972,959,-880,-870,-870,0,0,0,0
1,1763362800,30,100,37,290,820,360,-850,-750,-806,1,0,0,0
1,1763363700,30,70,36,290,510,365,-850,-760,-806,0,0,0,0
2,1763363700,28,30,28,931,972,960,-880,-870,-870,0,0,0,0
1,1763364600,30,100,37,280,500,344,-850,-740,-805,2,0,0,0
2,1763364600,27,31,28,930,973,958,-880,-870,-870,0,0,0,0
1,1763365500,30,70,32,270,630,344,-850,-750,-799,1,0,0,0
2,1763365500,27,31,28,930,973,959,-870,-870,-870,0,0,0,0
2,1763366400,28,31,28,931,972,960,-880,-870,-870,0,0,0,0
1,1763366400,30,90,33,260,440,326,-840,-740,-800,1,0,0,0
1,1763367300,20,70,33,270,650,338,-840,-740,-796,1,0,0,0
2,1763367300,27,32,28,929,973,957,-870,-870,-870,0,0,0,0
2,1763368200,25,30,28,931,975,958,-880,-870,-870,0,0,0,0
1,1763368200,30,80,31,270,520,347,-840,-670,-793,2,0,0,0
1,1763369100,30,70,33,280,500,355,-840,-750,-800,2,0,0,0
2,1763369100,26,31,28,930,974,959,-870,-860,-869,0,0,0,0
2,1763370000,27,31,28,930,973,960,-890,-870,-870,0,0,0,0
1,1763370000,20,80,34,280,720,369,-840,-750,-795,2,0,0,0
2,1763370900,27,30,28,931,973,960,-880,-870,-870,0,0,0,0
1,1763370900,30,70,34,300,530,376,-840,-750,-800,1,0,0,0
2,1763371800,27,31,28,930,973,959,-880,-860,-870,0,0,0,0
1,1763371800,20,80,33,300,650,385,-840,-760,-803,1,0,0,0
2,1763372700,28,31,28,930,972,955,-880,-870,-870,0,0,0,0
1,1763372700,30,50,31,300,460,369,-850,-750,-802,1,0,0,0
2,1763373600,27,31,29,931,973,956,-870,-870,-870,0,0,0,0
1,1763373600,30,60,33,310,470,389,-850,-760,-801,1,0,0,0
2,1763374500,26,31,29,930,973,953,-870,-870,-870,0,0,0,0
1,1763374500,30,80,36,310,510,380,-840,-760,-802,2,0,0,0
2,1763375400,27,31,28,931,973,957,-870,-870,-870,0,0,0,0
1,1763375400,30,90,37,320,690,400,-850,-750,-804,1,0,0,0
1,1763376300,30,70,36,270,470,365,-850,-750,-803,3,0,0,0
2,1763376300,28,31,29,930,972,953,-870,-870,-870,0,0,0,0
1,1763377200,20,60,32,290,710,364,-860,-750,-800,1,0,0,0
2,1763377200,27,31,29,930,973,957,-870,-870,-870,0,0,0,0
1,1763378100,30,70,34,300,470,362,-850,-760,-802,1,0,0,0
2,1763378100,28,30,28,931,972,962,-870,-860,-869,0,0,0,0
2,1763379000,28,31,28,930,972,956,-880,-870,-870,0,0,0,0
1,1763379000,30,80,32,290,460,347,-850,-740,-804,3,0,0,0
1,1763379900,30,110,39,270,560,359,-850,-750,-806,3,0,0,0
2,1763379900,28,31,28,930,972,958,-880,-870,-870,0,0,0,0
2,1763380800,28,31,29,14,972,202,-870,-870,-870,0,0,0,0
1,1763380800,30,70,33,260,730,334,-850,-750,-804,0,0,0,0
1,1763381700,30,90,33,260,690,335,-840,-740,-800,2,0,0,0
2,1763381700,28,31,29,18,41,24,-880,-870,-870,0,0,0,0
2,1763382600,28,31,29,18,37,23,-870,-870,-870,0,0,0,0
1,1763382600,30,70,32,290,450,360,-850,-740,-802,1,0,0,0
2,1763383500,28,32,29,14,68,23,-880,-870,-870,0,0,0,0
1,1763383500,30,100,36,280,690,362,-850,-750,-800,3,0,0,0
2,1763384400,26,32,29,21,754,38,-880,-860,-870,0,0,0,0
1,1763384400,20,70,34,290,840,469,-850,-740,-791,5,0,0,0
2,1763385300,27,31,29,22,58,33,-870,-870,-870,0,0,0,0
1,1763385300,30,70,34,300,630,391,-830,-750,-797,2,0,0,0
2,1763386200,28,31,29,9,45,24,-880,-860,-870,0,0,0,0
1,1763386200,20,80,34,280,800,385,-820,-750,-794,1,0,0,0
2,1763387100,28,32,29,25,78,36,-880,-870,-870,0,0,0,0
1,1763387100,30,60,34,270,480,346,-830,-740,-794,1,0,0,0
2,1763388000,24,33,29,26,612,48,-880,-870,-870,0,0,0,0
1,1763388000,30,50,33,230,570,368,-820,-730,-789,1,0,0,0
2,1763388900,28,31,29,25,68,39,-870,-870,-870,0,0,0,0
1,1763388900,20,50,31,280,680,379,-820,-740,-792,1,0,0,0
2,1763389800,27,32,29,30,92,42,-880,-870,-870,0,0,0,0
1,1763389800,30,60,33,290,500,378,-820,-740,-793,1,0,0,0
1,1763390700,30,70,34,290,530,383,-840,-750,-792,1,0,0,0
2,1763390700,27,31,29,27,382,46,-880,-860,-870,0,0,0,0
1,1763392406,30,40,33,260,510,350,-850,-760,-801,3,0,0,0
2,1763392467,0,1000,221,0,9,2,-900,0,-710,0,0,0,0
